date,slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
2024-03-21,bogdabo01,Bogdan Bogdanović,ATLANTA HAWKS,AWAY,PHOENIX SUNS,LOSS,2169,6,13,4,7,0,1,1,1,3,1,0,0,3,11.8
2024-03-21,isaacjo01,Jonathan Isaac,ORLANDO MAGIC,HOME,NEW ORLEANS PELICANS,WIN,956,4,6,1,3,0,0,3,2,2,2,1,1,1,11.8
2024-03-21,greenaj01,A.J. Green,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,WIN,825,5,7,5,7,0,0,1,1,0,0,0,1,1,11.7
2024-03-21,cartewe01,Wendell Carter,ORLANDO MAGIC,HOME,NEW ORLEANS PELICANS,WIN,1400,4,7,0,2,0,3,2,4,4,3,1,1,0,11.6
2024-03-21,kispeco01,Corey Kispert,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,WIN,2247,6,9,1,4,2,6,0,3,2,1,0,1,1,11.4
2024-03-21,mccolcj01,CJ McCollum,NEW ORLEANS PELICANS,AWAY,ORLANDO MAGIC,LOSS,2016,6,12,3,6,3,4,0,3,3,0,0,2,3,11.4
2024-03-21,achiupr01,Precious Achiuwa,NEW YORK KNICKS,AWAY,DENVER NUGGETS,LOSS,1523,4,5,1,1,0,0,0,5,3,0,2,0,2,11.3
2024-03-21,avdijde01,Deni Avdija,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,WIN,1919,7,14,2,3,1,3,0,9,5,0,0,3,3,11.2
2024-03-21,bealbr01,Bradley Beal,PHOENIX SUNS,HOME,ATLANTA HAWKS,WIN,2224,4,7,2,4,2,2,1,3,9,0,1,5,3,11.1
2024-03-21,terryda01,Dalen Terry,CHICAGO BULLS,AWAY,HOUSTON ROCKETS,LOSS,1027,3,5,0,1,0,0,3,4,5,0,0,0,0,10.5
2024-03-21,derozde01,DeMar DeRozan,CHICAGO BULLS,AWAY,HOUSTON ROCKETS,LOSS,1417,4,15,0,1,8,9,0,2,2,2,0,0,1,10.3
2024-03-21,divindo01,Donte DiVincenzo,NEW YORK KNICKS,AWAY,DENVER NUGGETS,LOSS,1862,4,11,3,8,0,0,0,2,4,2,1,0,2,10.2
2024-03-21,duranke01,Kevin Durant,PHOENIX SUNS,HOME,ATLANTA HAWKS,WIN,2216,5,15,2,8,7,7,1,3,2,0,3,5,1,10.2
2024-03-21,mcbrimi01,Miles McBride,NEW YORK KNICKS,AWAY,DENVER NUGGETS,LOSS,2648,4,9,1,5,2,2,0,3,3,1,1,0,2,10.2
2024-03-21,ingrabr01,Brandon Ingram,NEW ORLEANS PELICANS,AWAY,ORLANDO MAGIC,LOSS,1289,7,12,0,1,0,0,0,4,3,1,0,2,2,9.9
2024-03-21,poolejo01,Jordan Poole,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,WIN,2158,5,11,1,4,3,3,1,1,2,3,0,3,2,9.9
2024-03-21,vanvlfr01,Fred VanVleet,HOUSTON ROCKETS,HOME,CHICAGO BULLS,WIN,2337,3,11,3,9,0,0,0,3,12,1,2,3,4,9.6
2024-03-21,drumman01,Andre Drummond,CHICAGO BULLS,AWAY,HOUSTON ROCKETS,LOSS,1434,3,5,0,0,3,4,3,5,0,1,1,2,1,9.2
2024-03-21,yurtsom01,Omer Yurtseven,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,1231,4,7,1,2,1,2,2,3,2,0,0,0,2,9.2
2024-03-21,fultzma01,Markelle Fultz,ORLANDO MAGIC,HOME,NEW ORLEANS PELICANS,WIN,1210,3,4,0,0,0,0,1,0,6,1,0,0,3,9.1
2024-03-21,barneha02,Harrison Barnes,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,LOSS,1692,3,7,0,2,6,8,0,2,1,1,1,1,2,8.7
2024-03-21,smithde03,Dennis Smith,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,1114,2,2,1,1,0,0,0,3,6,3,0,3,2,8.7
2024-03-21,klebima01,Maxi Kleber,DALLAS MAVERICKS,HOME,UTAH JAZZ,WIN,1067,2,3,2,3,1,2,1,1,2,3,0,1,3,8.5
2024-03-21,georgke01,Keyonte George,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,1984,6,16,1,6,5,5,0,2,5,1,0,6,0,8.3
2024-03-21,willizi01,Zion Williamson,NEW ORLEANS PELICANS,AWAY,ORLANDO MAGIC,LOSS,1728,8,15,0,0,4,6,0,7,2,2,1,8,5,8.1
2024-03-21,mathega01,Garrison Mathews,ATLANTA HAWKS,AWAY,PHOENIX SUNS,LOSS,1263,2,5,0,2,5,6,0,2,2,1,0,0,3,7.7
2024-03-21,carusal01,Alex Caruso,CHICAGO BULLS,AWAY,HOUSTON ROCKETS,LOSS,2088,3,11,2,8,4,4,1,1,4,2,0,2,5,7.3
2024-03-21,eubandr01,Drew Eubanks,PHOENIX SUNS,HOME,ATLANTA HAWKS,WIN,985,3,4,0,0,1,1,1,3,0,0,3,1,2,7.3
2024-03-21,caldwke01,Kentavious Caldwell-Pope,DENVER NUGGETS,HOME,NEW YORK KNICKS,WIN,2217,2,5,2,5,0,0,0,4,3,1,3,1,4,7.1
2024-03-21,gillan01,Anthony Gill,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,WIN,1096,2,4,0,1,4,4,1,1,1,1,0,1,2,6.9
2024-03-21,holmeri01,Richaun Holmes,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,WIN,1768,2,9,0,0,2,2,6,10,2,0,1,1,5,6.8
2024-03-21,okongon01,Onyeka Okongwu,ATLANTA HAWKS,AWAY,PHOENIX SUNS,LOSS,1155,4,7,0,1,0,0,1,2,1,1,1,0,4,6.8
2024-03-21,anthoco01,Cole Anthony,ORLANDO MAGIC,HOME,NEW ORLEANS PELICANS,WIN,1085,3,8,2,4,2,2,1,4,1,0,1,2,1,6.5
2024-03-21,krejcvi01,Vit Krejci,ATLANTA HAWKS,AWAY,PHOENIX SUNS,LOSS,2253,4,9,1,5,0,0,0,1,4,1,0,1,3,6.2
2024-03-21,portibo01,Bobby Portis,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,WIN,1786,2,10,0,2,2,2,2,7,2,2,1,0,3,6.2
2024-03-21,nurkiju01,Jusuf Nurkić,PHOENIX SUNS,HOME,ATLANTA HAWKS,WIN,1895,1,5,0,0,5,8,3,7,2,1,0,2,3,6.1
2024-03-21,whiteco01,Coby White,CHICAGO BULLS,AWAY,HOUSTON ROCKETS,LOSS,1768,5,13,2,5,1,2,0,4,3,0,0,2,2,6.0
2024-03-21,baldwpa01,Patrick Baldwin,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,WIN,567,2,3,1,2,1,1,0,2,0,1,1,1,1,5.6
2024-03-21,bolbo01,Bol Bol,PHOENIX SUNS,HOME,ATLANTA HAWKS,WIN,658,1,2,1,2,2,2,0,3,2,0,1,1,1,5.6
2024-03-21,mitchda01,Davion Mitchell,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,LOSS,1162,2,3,1,1,0,0,1,1,1,1,0,1,0,5.4
2024-03-21,valanjo01,Jonas Valančiūnas,NEW ORLEANS PELICANS,AWAY,ORLANDO MAGIC,LOSS,1080,3,4,0,1,0,0,0,5,1,1,0,1,3,5.4
2024-03-21,livelde01,Dereck Lively,DALLAS MAVERICKS,HOME,UTAH JAZZ,WIN,929,3,5,0,0,0,2,3,2,1,0,0,1,0,5.3
